歌手名字,artist_name
1295824647,彩虹下面 - (电影《西虹市首富》推广曲)
33166602,让我偷偷看你
29567188,家乡
28111471,已是两条路上的人
202368,未给姐姐递出的信
517567264,静下来
29567185,北京的冬天
29567190,梦中的哈德森
34852810,再也不会去丽江
202377,妈妈
447925067,再见北京 - (Goodbye! Beijing!)
29567194,小屋
431794628,孤独
202367,人家
202376,背影
29567186,浮游
202370,不开的唇
447926068,窑上路 - (Yao-shang Road)
202375,开往北京的火车
202371,赵小雷
202374,Over
29810320,未给姐姐递出的信 
433018041,民谣
553546118,朵儿 (Live版)
1327930869,1三十岁的女人（Cover：赵雷）
433018045,往事只能回味
432792901,凭什么说爱你
432792904,何必
432792905,夏天
433018044,爱人你在哪里
433018046,逆流而上
433018047,飞来飞去
31460216,米店
432792903,塔吉汗
460628183,月亮粑粑 (Live)
歌手名字,李佳隆
1296583188,星球坠落 (Live)
464976941,星球杯
1298898548,特别
1293904991,月儿圆
864489248,给妈妈的歌
1306497504,坠落
1311345343,特别 (live)
1294889228,月儿圆 (Live)
1305111035,中国新说唱EP07 RAP07 (Live)
557158202,别
525413104,加利福利亚的梦
1313082595,听懂没
1320100116,嗨咯喂
550119706,错不在我
551763604,Trend It
1327111546,Drip
525824280,NoMo
550121607,索尼克ソニック
1304803527,ICED OUT(prod. Guala Beatz)
519002337,Wait
1305776662,Space Fleet
550123408,Stay Right Here Pt.2
1312894164,Good Trip [Keep On Movin'] Prod.S.O
1300104493,星球坠落
歌手名字,满舒克
26524701,My Heart Will Go On
519913462,做我的猫
28784206,DAY LOVE NIGHT
473181848,reset-轮回者（满舒克 / FatKan remix）
436667978,慢慢来
1300594121,追梦 (Live)
528270313,FALL IN LOVE
535542233,陪 你 过 冬 天 [Remix. Xein.X](feat. Heathen.CT)
470610329,不必说再见
459815982,不想错过你
41657467,每一天
1329719089,噢！乖 - (电影《狗十三》宣传曲)
562597376,燃
26577192,天亮前出发
29129900,燃烧
1305364933,Please Everybody
26550644,你进我退
408943628,You Don't Even Know
534541257,Logo
444269464,Always On The Road
25730240,那年我们一起追过的女孩feat.MC何山+孔艺萌 beat prod.by 7JZ
492144600,Real Life
470607987,Never Lonely
32785382,怎么还没睡
472639932,Don't Go
1294910218,Keep My Mind (Live)
1302084266,浪得冒泡
29829353,Can't take my eyes off you
454992953,2phones(Remix)
29829361,Winter Song (Syrup Remix)
447079183,Always on the Road
1296548178,Yellow Soul (Live)
461547333,2PHONE
26550640,保质期
28234982,翱翔
29129901,深度失眠
29829360,Truth
26550643,凌晨的房间
27853054,Pinup Lady
1294910220,中国新说唱EP02-RAP02 (Live)
560340441,陪你过夏天
26550627,Feel It Now
399410096,CoolTrip
29775054,Kill It
504213411,back to the dream
470608760,Stay Alone Together
32719136,ATM
529823758,唯一
29775061,夸张
36307984,海风上岸
歌手名字,毛不易
536099160,不染 - (电视剧《香蜜沉沉烬如霜》主题曲)
569213220,像我这样的人
569200213,消愁
1334270281,别再闹了 - (电影《来电狂响》暖冬主题曲)
569214250,借
525278524,无问 - (电影《无问西东》宣传曲)
1313052960,从无到有 - (电视剧《创业时代》片尾主题曲)
569214247,平凡的一天
569200210,给你给我
569212211,盛夏
569214252,如果有一天我变得很有钱
569200212,一荤一素
569212210,想你想你
569200211,哎哟
524913480,感觉自己是巨星 - (电影《卧底巨星》推广曲)
518088247,项羽虞姬 - (《王者荣耀》项羽虞姬英雄主打歌)
569214251,芬芳一生
1332490992,在无风时 - (美的空调无风主题曲)
569214249,南一道街
1325897605,那时的我们
1306496991,一江水 - (电视剧《天坑鹰猎》概念主题曲)
519250015,请记住我 - (《寻梦环游记》中文主题曲)
862098671,意料之中
569212213,Bonus Track：给你给我 (Demo版)
569200214,Bonus Track：一荤一素 (Demo版)
523946593,Remember Me (Mao Bu Yi Version)
542058293,牧马城市 - (电视剧《老男孩》片尾曲)
1304301646,梅香如故 - (电视剧《如懿传》片尾曲)
541422041,浴火成诗 - (《烈火如歌》电视剧片尾曲)
502925974,一半 (Live)
518089004,二零三
518089001,一程山路
542667241,月下独酌 (Live)
505474396,故乡游 (Live)
528251032,深夜一角
526470589,下雨了 (Live)
528251035,南一道街 North Hollywood
503206092,南一道街_North Hollywood (Live)
508053465,青春 (Live)
505474398,Imagine (Live)
528251030,等
528251031,明天的孩子们
508053467,模特 (Live)
522320029,203 + 感觉自己是巨星 (Live)
521267030,像我这样的人 + 一程山路 (Live)
541422440,牧羊曲 (Live)
521267035,很多事要唱 (Live)
521267037,一生所爱 (Live)
524913511,我要你 (Live)
525278997,渡情 (Live)
歌手名字,王北车
1294899063,陷阱
1294889064,陷阱 (伴奏)
1316824131,突然想起你
1316330165,路人甲
1327298704,无憾
1334818166,爱你
1318571147,没有如果
1320122137,好像从前
1316330166,路人甲 (伴奏)
1316824132,突然想起你 (伴奏)
1334818167,爱你 (伴奏)
1309901503,路人甲(伴奏)
1318571148,没有如果(伴奏)
1327298705,无憾 (伴奏)
1320122138,好像从前 (伴奏)
歌手名字,徐梦圆
534540498,藏
41500546,China-X
34380473,color-X 3D
405987145,China-P
454129387,PDD
534540013,乐游记
1332654794,China-L
465593781,胭脂妆
34779103,color-X
1316562742,Diplo & MØ - Stay Open (徐梦圆 Remix)
536624791,玻璃糖
423104116,China-PiPa
1304920086,China-E
466327445,China-O
1339042889,Daybreak
436675327,China-Rain
409650440,China-A
418257482,大鱼(徐梦圆Remix)
427017128,Water
555557845,China-C
457840567,The Chinese zither
1325897973,抱紧你
442899497,在你身边（Feat.徐梦圆）
493041272,China-U
34779102,summer
496871005,张大仙你是妖怪吧
35032211,China
862099538,第五人格
34779255,时雨
34380471,3D RUN
34380477,upside-down 3D
542541179,China-X/锦里/南锣鼓巷(旌影mashup)
409654860,China-Y
415085467,愿世界对你温柔相待
419375942,China-Dance
483378714,Candy Girl
34779260,中二也要弹钢琴
424496657,Slip
406000489,Whatever
407761545,China-M
41642380,Say Hi
1331819187,Drunk
34780516,JUMP
40249016,Christmas
449291487,12.25
865674005,雨
411988718,China-Future
503206672,Piercing Light (徐梦圆 Remix)
459115868,醉（Feat.徐梦圆）
454966416,China-Dragon
