INFO   | jvm 1    | 2019/02/06 20:13:03 | 0005000013新增flmeterdata放弃,异常数据标况总量：209485标况流量：1121442857抛弃原文: 68000500001300806888c3c4004b100200050000241902062012324d0003324d0003dc2942d7570a42f9999a416d947b42ac000000324d000377a4464000000000000000000000000000000a3e3fb7800000000032220003002416
INFO   | jvm 1    | 2019/02/06 20:16:35 | 0005000015新增flmeterdata放弃,异常数据标况总量：62010标况流量：1127657548抛弃原文: 68000500001511c06888c3c4004b100200050000261902062016f23a00000f670001b04c4336c864434c58eb4184b2e142b2000047f23a00002d22480400000000000000000000000000008f5d3fc28000000000f1dd0000005416
INFO   | jvm 1    | 2019/02/06 20:17:36 | 0005000017新增flmeterdata放弃,异常数据总累积量：79667抛弃原文: 68000500001705806888c3c4004b10020005000028190206202200000000000000000000000000000000000000000000000000000037330001c8f645470000000000000000000000000000eb86401180000000003733000100cf16
INFO   | jvm 1    | 2019/02/06 20:19:10 | 0005000013新增flmeterdata放弃,异常数据标况总量：209497标况流量：1121448100抛弃原文: 68000500001301406888c3c4004b1002000500002419020620183259000332590003f0a442d770a442f9999a416d947b42ac000000325900033300464000000000000000000000000000000a3e3fb78000000000322e0003007516
INFO   | jvm 1    | 2019/02/06 20:24:12 | 0005000007新增flmeterdata放弃,异常数据总累积量：29928抛弃原文: 68000500000717406888c3c4004b10020005000014190206202774e800007dc90000000000000000000014f841d1f9ee42bf00002074e80000c66643ea000000000000000000000000000085203fcb800000000074e80000002816
INFO   | jvm 1    | 2019/02/06 20:29:31 | 0003600003新增flmeterdata放弃,异常数据单价：1065353216抛弃原文: 68000360000311806888c3c4004b10020003100005190206202700400000004200000000000000000000b5dc41d74efb42c8000000ec5200008e00471a000000000000000000000000000000003f80810000000000000000009e16
INFO   | jvm 1    | 2019/02/06 20:29:32 | 0003600003新增flmeterdata放弃,异常数据单价：1065353216抛弃原文: 68000360000311c06888c3c4004b100200031000061902062027000000000000000000000000000000000000000000000000000000bd010000e6004749000000000000000000000000000100003f80810000000000000000006916
INFO   | jvm 1    | 2019/02/06 20:33:07 | 0005000005新增flmeterdata放弃,异常数据总累积量：86390抛弃原文: 6800050000051e806888c3c4004b1002000500001119020620340003000000000000a13a420fa13a420fa13a420fa66642ca00000051760001f6b844b60000000000000000000000000000eb864011800000000051760001008816
INFO   | jvm 1    | 2019/02/06 20:34:31 | 0005000014新增flmeterdata放弃,异常数据总累积量：8762抛弃原文: 68000500001412c06888c3c4004b100200050000251902062038000000000000000000000000000000000000000000000000000000223a0000199a44c40000000000000000000000000000147c3fce8000000000223a0000005a16
INFO   | jvm 1    | 2019/02/06 20:47:43 | 0005000017新增flmeterdata放弃,异常数据总累积量：79676抛弃原文: 68000500001708406888c3c4004b100200050000281902062052000000000000000000000000000000000000000000000000000000373c000180a445460000000000000000000000000000eb8640118000000000373c0001003916
INFO   | jvm 1    | 2019/02/06 20:52:45 | 0005000015新增flmeterdata放弃,异常数据标况总量：62080标况流量：1127667063抛弃原文: 68000500001515406888c3c4004b100200050000261902062052f28000000fb50001d5774336c2a7434db18c418ec98242b2000055f28000001288480400000000000000000000000000008f5d3fc28000000000f223000000d816
INFO   | jvm 1    | 2019/02/06 20:55:21 | 0005000013新增flmeterdata放弃,异常数据标况总量：209561标况流量：1121369457抛弃原文: 68000500001304c06888c3c4004b1002000500002419020620543299000332990003bd7142d6666642f8f5c34174947b42ac00000032990003c4ec463e00000000000000000000000000000a3e3fb78000000000326e0003008b16
INFO   | jvm 1    | 2019/02/06 20:58:56 | 0005000015新增flmeterdata放弃,异常数据标况总量：62093标况流量：1093191699抛弃原文: 68000500001516006888c3c4004b100200050000261902062058f28d00000fc30001c8134128cd7a41330307419786b342bd000057f28d00000d98480400000000000000000000000000008f5d3fc28000000000f230000000f116
INFO   | jvm 1    | 2019/02/06 20:59:38 | 0003600003新增flmeterdata放弃,异常数据单价：1065353216抛弃原文: 68000360000315006888c3c4004b100200031000061902062057000000000000000000000000000000000000000000000000000000bd010000e6004749000000000000000000000000000100003f8081000000000000000000dd16
INFO   | jvm 1    | 2019/02/06 21:01:30 | 0005000013新增flmeterdata放弃,异常数据标况总量：209572标况流量：1106431181抛弃原文: 68000500001305806888c3c4004b10020005000024190206210032a4000332a40003cccd41f251ec420c8f5c4172947b42ac00000032a400038600463e00000000000000000000000000000a3e3fb7800000000032790003003716
INFO   | jvm 1    | 2019/02/06 21:02:02 | 0005000012新增flmeterdata放弃,异常数据总累积量：57723抛弃原文: 68000500001205406888c3c4004b100200050000231902062107000000000000000000000000000000000000000000000000000027e17b0000d70a3c230000000096804c98000000000000147c3fcef700000000ba4364da009516
INFO   | jvm 1    | 2019/02/06 21:04:34 | 0005000014新增flmeterdata放弃,异常数据总累积量：8762抛弃原文: 68000500001415806888c3c4004b100200050000251902062108000000000000000000000000000000000000000000000000000000223a0000199a44c40000000000000000000000000000147c3fce8000000000223a000000ee16
INFO   | jvm 1    | 2019/02/06 21:07:38 | 0005000013新增flmeterdata放弃,异常数据标况总量：209582标况流量：1121404846抛弃原文: 68000500001306406888c3c4004b10020005000024190206210632ae000332ae000347ae42d7051f42f9f5c34174947b42ac00000032ae00034ccd463e00000000000000000000000000000a3e3fb7800000000032830003009e16
INFO   | jvm 1    | 2019/02/06 21:14:09 | 0005000013新增flmeterdata放弃,异常数据标况总量：209597标况流量：1121469071抛弃原文: 68000500001307006888c3c4004b10020005000024190206211332bd000332bd0003428f42d8051f42fa8f5c4172947b42ac00000032bd0003f700463d00000000000000000000000000000a3e3fb7800000000032920003009416
INFO   | jvm 1    | 2019/02/06 21:17:53 | 0005000017新增flmeterdata放弃,异常数据总累积量：79679抛弃原文: 6800050000170b006888c3c4004b100200050000281902062122000000000000000000000000000000000000000000000000000000373f0001133345460000000000000000000000000000eb8640118000000000373f000100f516
INFO   | jvm 1    | 2019/02/06 21:20:07 | 0005000013新增flmeterdata放弃,异常数据标况总量：209609标况流量：1121327514抛弃原文: 68000500001307c06888c3c4004b10020005000024190206211932c9000332c90003199a42d6851f42f700004170947b42ac00000032c90003b25c463d00000000000000000000000000000a3e3fb78000000000329e0003001116
